RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Proposition B – City of Frisco,"RACE_CANDIDATES    Proposition B – City of Frisco - For
RACE_CANDIDATES     Proposition B – City of Frisco - 54
dtype: object",For,54,Colin
Proposition B – City of Frisco,"RACE_CANDIDATES    Proposition B – City of Frisco.1 - Against
RACE_CANDIDATES         Proposition B – City of Frisco.1 - 52
dtype: object",Against,52,Colin
Proposition B – City of Frisco,"RACE_CANDIDATES    Proposition B – City of Frisco.2 - OVER VOTES
RACE_CANDIDATES            Proposition B – City of Frisco.2 - 27
dtype: object",OVER VOTES,27,Colin
Proposition B – City of Frisco,"RACE_CANDIDATES    Proposition B – City of Frisco.3 - UNDER VOTES
RACE_CANDIDATES             Proposition B – City of Frisco.3 - 89
dtype: object",UNDER VOTES,89,Colin
Proposition C – City of Frisco,"RACE_CANDIDATES    Proposition C – City of Frisco - For
RACE_CANDIDATES     Proposition C – City of Frisco - 53
dtype: object",For,53,Colin
Proposition C – City of Frisco,"RACE_CANDIDATES    Proposition C – City of Frisco.1 - Against
RACE_CANDIDATES         Proposition C – City of Frisco.1 - 52
dtype: object",Against,52,Colin
Proposition C – City of Frisco,"RACE_CANDIDATES    Proposition C – City of Frisco.2 - OVER VOTES
RACE_CANDIDATES            Proposition C – City of Frisco.2 - 27
dtype: object",OVER VOTES,27,Colin
Proposition C – City of Frisco,"RACE_CANDIDATES    Proposition C – City of Frisco.3 - UNDER VOTES
RACE_CANDIDATES             Proposition C – City of Frisco.3 - 90
dtype: object",UNDER VOTES,90,Colin
Proposition D – City of Frisco,"RACE_CANDIDATES    Proposition D – City of Frisco - For
RACE_CANDIDATES     Proposition D – City of Frisco - 53
dtype: object",For,53,Colin
Proposition D – City of Frisco,"RACE_CANDIDATES    Proposition D – City of Frisco.1 - Against
RACE_CANDIDATES         Proposition D – City of Frisco.1 - 52
dtype: object",Against,52,Colin
Proposition D – City of Frisco,"RACE_CANDIDATES    Proposition D – City of Frisco.2 - OVER VOTES
RACE_CANDIDATES            Proposition D – City of Frisco.2 - 27
dtype: object",OVER VOTES,27,Colin
Proposition D – City of Frisco,"RACE_CANDIDATES    Proposition D – City of Frisco.3 - UNDER VOTES
RACE_CANDIDATES             Proposition D – City of Frisco.3 - 90
dtype: object",UNDER VOTES,90,Colin
Proposition E – City of Frisco,"RACE_CANDIDATES    Proposition E – City of Frisco - For
RACE_CANDIDATES     Proposition E – City of Frisco - 53
dtype: object",For,53,Colin
Proposition E – City of Frisco,"RACE_CANDIDATES    Proposition E – City of Frisco.1 - Against
RACE_CANDIDATES         Proposition E – City of Frisco.1 - 52
dtype: object",Against,52,Colin
Proposition E – City of Frisco,"RACE_CANDIDATES    Proposition E – City of Frisco.2 - OVER VOTES
RACE_CANDIDATES            Proposition E – City of Frisco.2 - 27
dtype: object",OVER VOTES,27,Colin
Proposition E – City of Frisco,"RACE_CANDIDATES    Proposition E – City of Frisco.3 - UNDER VOTES
RACE_CANDIDATES             Proposition E – City of Frisco.3 - 90
dtype: object",UNDER VOTES,90,Colin
Mayor – City of Garland,"RACE_CANDIDATES    Mayor – City of Garland - Roel G. Garcia
RACE_CANDIDATES                 Mayor – City of Garland - 7
dtype: object",Roel G. Garcia,7,Colin
Mayor – City of Garland,"RACE_CANDIDATES    Mayor – City of Garland.1 - Scott LeMay
RACE_CANDIDATES              Mayor – City of Garland.1 - 5
dtype: object",Scott LeMay,5,Colin
Mayor – City of Garland,"RACE_CANDIDATES    Mayor – City of Garland.2 - OVER VOTES
RACE_CANDIDATES             Mayor – City of Garland.2 - 3
dtype: object",OVER VOTES,3,Colin
